Gene	Phenotype
USP9X	HP:0000453,HP:0001598,HP:0000444,HP:0000678,HP:0000324,HP:0001263,HP:0001528,HP:0000218,HP:0000272,HP:0000358,HP:0011838,HP:0002650,HP:0004322
NPC1	HP:0007302,HP:0002067,HP:0100543,HP:0002329,HP:0001298,HP:0002141,HP:0001254,HP:0001268,HP:0000138,HP:0000725,HP:0000736,HP:0009088
NR2F2	HP:0001999,HP:0000174,HP:0100665,HP:0002099,HP:0007018,HP:0001631,HP:0002901,HP:0000347,HP:0005978,HP:0002781
PTEN	HP:0003549,HP:0001903,HP:0001394,HP:0002040,HP:0001028,HP:0002240,HP:0000821,HP:0001876,HP:0001409,HP:0001370,HP:0001744,HP:0100512
UBE2A	HP:0003220,HP:0001263,HP:0000085,HP:0001252,HP:0001562,HP:0000278,HP:0001250,HP:0000954,HP:0001792
AAAS	HP:0002571,HP:0002460,HP:0002094,HP:0012378,HP:0002579,HP:0002615,HP:0003198,HP:0000648,HP:0001250,HP:0000407,HP:0010535,HP:0001350
LZTR1	HP:0001999,HP:0012050,HP:0000028,HP:0002094,HP:0000969,HP:0012378,HP:0011968,HP:0000023,HP:0001888,HP:0002107,HP:0001561,HP:0002878,HP:0002789,HP:0000465
CIC	HP:0000717,HP:0008872,HP:0001263,HP:0000276
NEFL	HP:0001137,HP:0002136,HP:0009027,HP:0000365,HP:0010829,HP:0001252,HP:0009830,HP:0001761,HP:0002073,HP:0001315,HP:0001152,HP:0009088,HP:0000486
TNFRSF1A	HP:0002829,HP:0002099,HP:0000708,HP:0000978,HP:0002019,HP:0000716,HP:0012378,HP:0002579,HP:0100785,HP:0001891,HP:0001373,HP:0001382,HP:0002017,HP:0001962,HP:0001058,HP:0002719,HP:0000988,HP:0001065,HP:0000963
DMD	HP:0001644,HP:0011664
ADCY5	HP:0002015,HP:0002020,HP:0100324,HP:0001250
MECP2	HP:0001273,HP:0012735,HP:0000268,HP:0002353,HP:0001298,HP:0001508,HP:0011968,HP:0001263,HP:0000252,HP:0001252,HP:0005972
SMAD4	HP:0200007,HP:0000429,HP:0002829,HP:0012532,HP:0002019,HP:0002014,HP:0002189,HP:0012378,HP:0001387,HP:0008551,HP:0003326,HP:0001611,HP:0001962,HP:0000407,HP:0004322,HP:0000988,HP:0005978
SHANK3	HP:0001999,HP:0100658,HP:0000750,HP:0002474,HP:0001263,HP:0000752,HP:0002360,HP:0001328,HP:0011098
SLC20A2	HP:0002135,HP:0002315,HP:0002322
FLG	HP:0001999,HP:0002099,HP:0005110,HP:0003418,HP:0000978,HP:0012532,HP:0002901,HP:0000821,HP:0001382,HP:0003419,HP:0000939,HP:0003401,HP:0004322,HP:0001669,HP:0001629
KANSL1	HP:0008872,HP:0001263,HP:0000343,HP:0008551,HP:0004482,HP:0004322,HP:0000179
RYR1	HP:0000544,HP:0001508,HP:0001263,HP:0008947,HP:0001382,HP:0007340,HP:0003198,HP:0002650,HP:0001649
ANO3	HP:0002072,HP:0001332,HP:0002487,HP:0100033
TBR1	HP:0001250,HP:0011344
